,y_actual,y_predict
0,-5793.10400390625,-5768.399490878642
1,-5793.10400390625,-5813.192090623572
2,-5793.10400390625,-5813.192090623572
3,-5793.10400390625,-5813.192090623572
4,-5793.10400390625,-6043.078202072296
5,-5793.10400390625,-6420.539535472811
6,-6510.345703125,-6349.50868147534
7,-6510.345703125,-6024.4219697413155
8,-6206.89697265625,-6331.9779909988765
9,-5765.51806640625,-6727.809726538885
10,-5737.931640625,-6700.598418787573
11,-5737.931640625,-6587.496506102874
12,-5737.931640625,-6615.93319113444
13,-5737.931640625,-6278.937343957964
14,-5737.931640625,-6284.039207734728
15,-5737.931640625,-6160.888791069391
16,-5737.931640625,-5908.83511228182
17,-6620.6904296875,-5721.403673724687
18,-6620.6904296875,-5757.894205635052
19,-6758.621582031251,-6307.242054762359
20,-6786.20751953125,-6787.403953855432
21,-6703.44921875,-6918.105621249465
22,-6703.44921875,-6929.463610437516
23,-6703.44921875,-6895.910017934898
24,-6703.44921875,-6757.591454600726
25,-6703.44921875,-6733.31229962716
26,-6703.44921875,-6733.783440780114
27,-6703.44921875,-6733.783440780114
28,-6703.44921875,-6733.783440780114
29,-6703.44921875,-6733.783440780114
30,-6703.44921875,-6733.7841245844
31,-6703.44921875,-6733.7841245844
32,-6703.44921875,-6733.783440780114
33,-6703.44921875,-6733.783440780114
34,-6703.44921875,-6733.783440780114
35,-6703.44921875,-6733.783440780114
36,-6703.44921875,-6733.783440780114
37,-6703.44921875,-6733.783440780114
38,-6703.44921875,-6733.783440780114
39,-6703.44921875,-6733.783440780114
40,-6703.44921875,-6733.783440780114
41,-6703.44921875,-6733.783440780114
42,-6703.44921875,-6733.783440780114
43,-6703.44921875,-6733.783440780114
44,-6703.44921875,-6733.783440780114
45,-6703.44921875,-6733.783440780114
46,-6703.44921875,-6733.783440780114
47,-6703.44921875,-6733.783440780114
48,-6703.44921875,-6733.783440780114
49,-6703.44921875,-6733.783440780114
50,-6703.44921875,-6733.783440780114
51,-5517.2421875,-6733.783440780114
52,-5517.2421875,-6733.783440780114
53,-5517.2421875,-6351.856865392966
54,-5517.2421875,-5669.113159985358
55,-5517.2421875,-5434.1894623627395
56,-5517.2421875,-5537.369374859682
