,y_actual,y_predict
0,29000000.0,28774586.28176997
1,26000000.0,28111254.018188562
2,25000000.0,27307360.422879413
3,23500000.0,26158022.363688856
4,24000000.0,24863179.273699813
5,23500000.0,23674134.781425167
6,23000000.0,23634881.681893416
7,25000000.0,23306809.991017688
8,24500000.0,22965463.791359425
9,24000000.0,24242683.808063895
10,24000000.0,23927370.985911172
11,24000000.0,23581317.422209445
12,23500000.0,23706977.83046688
13,22500000.0,23582985.732652053
14,22500000.0,23126300.519927952
15,22500000.0,22449926.859840922
16,22500000.0,22230934.526558354
17,23500000.0,22272585.352366924
18,25500000.0,22191077.698456906
19,24000000.0,22879164.981896266
20,23500000.0,24450152.66026608
21,23500000.0,23613445.020668563
22,23500000.0,23001899.132815868
23,23000000.0,23185461.622758076
24,23000000.0,23124833.09425854
25,23000000.0,22716982.21792234
26,24500000.0,22778615.170287836
27,25500000.0,22749603.971438505
28,26000000.0,24043837.961607233
29,26000000.0,24607783.826464523
30,25000000.0,24978726.691289708
31,25000000.0,25072016.72056
32,24500000.0,24492427.625396702
33,25000000.0,24560913.219303332
34,25000000.0,24223586.863609158
35,25000000.0,24388744.2261765
36,24000000.0,24572221.85035891
37,24500000.0,24432960.361281235
38,24500000.0,23820431.53456506
39,24000000.0,24087024.96509315
40,23500000.0,24073703.189305156
41,23500000.0,23642640.990539223
42,23500000.0,23373052.550665364
43,23500000.0,23295955.767764576
44,23500000.0,23235658.108303234
45,24000000.0,23134314.425853156
46,24000000.0,23206164.57114822
47,25000000.0,23592935.43730074
48,25000000.0,23586906.74560473
49,24500000.0,24294472.332292855
50,24000000.0,24286123.260328956
51,24000000.0,24066769.979004722
52,24000000.0,23655284.91449896
53,23000000.0,23710341.307605192
54,24000000.0,23663756.450976994
55,24000000.0,22915067.495291196
56,24000000.0,23514037.13694197
57,23500000.0,23547124.040761836
58,24500000.0,23542101.921432033
59,24500000.0,23049045.822258934
60,25000000.0,23970929.679940004
61,25500000.0,24002442.80732818
62,25000000.0,24270568.118533127
63,26500000.0,24756799.506668318
64,26500000.0,25248206.631901044
65,26000000.0,25259153.240664825
66,26500000.0,25433638.317059048
67,26500000.0,25263776.813198615
68,26000000.0,25523440.256176643
69,26000000.0,25599646.485724617
70,26000000.0,25279249.2377349
71,25500000.0,25245939.96413936
72,25500000.0,25259045.815652423
73,25500000.0,24929251.027577765
74,26500000.0,24908853.16622284
75,26500000.0,24922728.18082471
76,27000000.0,25533346.99082037
77,27000000.0,25611406.30183228
78,27000000.0,25830464.16437241
79,27000000.0,26037846.00231455
80,27000000.0,25947540.23988879
81,26500000.0,25974001.168943692
82,26500000.0,26020382.992298454
83,26500000.0,26017907.92001271
84,27000000.0,25561109.911025587
85,27000000.0,25694242.803145718
86,26000000.0,25975676.999137167
87,26000000.0,25891520.244421307
88,26000000.0,25333010.085191566
89,27000000.0,25258094.03004254
90,27000000.0,25243965.49241141
91,27500000.0,25870271.57696816
92,27000000.0,25851177.8552638
93,27000000.0,26195083.992967606
94,27500000.0,26032049.34864533
95,27000000.0,26008100.01638039
96,27000000.0,26231563.378679134
97,27000000.0,25999808.953923192
98,26000000.0,25886673.22786172
99,26000000.0,25998463.992767915
100,26500000.0,25445236.995648112
101,26500000.0,25336502.47234476
102,26000000.0,25670077.54660585
103,26000000.0,25554677.301282946
104,26000000.0,25293338.028111443
105,26000000.0,25328966.60772475
106,26000000.0,25304040.78209707
107,26000000.0,25292647.2852817
108,25500000.0,25292647.2852817
109,25500000.0,25292647.2852817
110,23500000.0,24943416.089713115
111,24000000.0,24958075.306905515
112,23500000.0,23721656.384161517
113,23500000.0,23750421.579732444
114,23500000.0,23281458.7623409
115,23000000.0,23188220.29707656
116,23000000.0,23229781.960124835
117,23500000.0,22856287.751255102
118,24000000.0,22813546.56157065
119,24000000.0,23124214.326187104
120,24000000.0,23696269.705230635
121,24500000.0,23523255.2772562
122,25000000.0,23624630.112959877
123,25000000.0,24051919.545290247
124,25000000.0,24355275.963562608
125,25000000.0,24435966.113128245
126,25000000.0,24439181.343749445
127,25000000.0,24486707.24348629
128,25000000.0,24497802.098767184
129,25500000.0,24497802.098767184
130,23500000.0,24497802.098767184
131,24500000.0,25071918.963798713
132,24500000.0,23714328.924065564
133,23500000.0,24070341.860667095
134,22500000.0,23983120.2703474
135,22500000.0,23322699.224602092
136,22000000.0,22581354.91701423
137,21500000.0,22457875.236508556
138,21500000.0,21915378.923877604
139,21500000.0,21411350.433937747
140,21500000.0,21317025.901798025
141,21000000.0,21319918.857382014
142,21000000.0,21282531.730315685
143,20500000.0,20894107.593222298
144,20500000.0,20747513.272798046
145,20000000.0,20348431.50022424
146,21000000.0,20332442.3613783
147,20500000.0,19885859.3968205
148,20500000.0,20733257.97365228
149,20000000.0,20161605.438405257
150,20500000.0,20302548.128927026
151,21000000.0,20059490.444366127
152,22000000.0,20164111.6639446
153,23000000.0,20734633.01381103
154,22500000.0,21527539.178851686
155,22000000.0,22648974.6653209
156,21500000.0,22036985.112166986
157,21500000.0,21766710.226463873
158,21500000.0,21497207.72659993
159,21500000.0,21393068.845327146
160,21000000.0,21226507.437847707
161,22000000.0,21293228.038800567
162,21500000.0,20898812.808765512
163,21000000.0,21611547.68705043
164,22000000.0,21337970.556466073
165,21000000.0,20833754.07275451
166,21500000.0,21742625.538683306
167,21000000.0,20986026.879334338
168,20500000.0,21216193.562406972
169,21000000.0,20779012.434934612
170,20500000.0,20356926.670205005
171,21000000.0,20833542.44548008
172,21000000.0,20322915.91127848
173,21000000.0,20726249.565843165
174,20500000.0,20723552.123781744
175,20500000.0,20751496.59225792
176,20500000.0,20288122.024011537
177,20500000.0,20354630.99768997
178,20000000.0,20290751.788315143
179,20000000.0,20263291.8066449
180,20000000.0,19770742.75353034
181,20000000.0,19841302.724426456
182,20000000.0,19774620.796478055
183,19500000.0,19746980.34078698
184,19000000.0,19746980.34078698
185,18500000.0,19418231.872333117
186,18000000.0,18855395.70785394
187,17500000.0,18160620.143142417
188,17500000.0,17806843.795299098
189,17500000.0,17429762.665265255
190,17500000.0,17189594.713537972
191,17500000.0,17163129.487482578
192,17500000.0,17117594.173225544
193,16500000.0,17154569.86249437
194,15500000.0,16947095.639041565
195,16000000.0,16099488.120560665
196,15000000.0,15362741.603503615
197,15500000.0,15489329.626743145
198,16000000.0,14875544.464506928
199,15500000.0,15050026.318150777
200,15500000.0,15469109.553783745
201,15500000.0,15012695.0520909
202,15500000.0,15139883.044024695
203,15000000.0,15082608.324412355
204,15000000.0,15059473.273741424
205,15000000.0,14682014.007663924
206,15000000.0,14472834.949264297
207,14500000.0,14590526.570101742
208,14500000.0,14581617.813823229
209,14000000.0,14122266.84941637
210,14000000.0,14069923.474998351
211,14000000.0,13736156.10996506
212,14000000.0,13554883.921287268
213,14000000.0,13600831.747591924
214,14000000.0,13580845.3240345
215,13500000.0,13627366.799905386
216,14000000.0,13525983.370200714
217,14000000.0,13153359.841056496
218,14000000.0,13628412.045276057
219,13500000.0,13504846.961885525
220,13500000.0,13555323.289587993
221,13500000.0,13238350.750993658
222,15000000.0,13099740.794616204
223,13500000.0,13122737.804146197
224,13500000.0,14511635.252368774
225,13000000.0,13964440.706820413
226,14000000.0,13170159.501621012
227,13500000.0,12857458.181519786
228,13500000.0,13697002.915694842
229,13500000.0,13294890.683521168
230,14000000.0,12967243.32144443
231,14000000.0,13127629.939210992
232,14500000.0,13711058.941442605
233,14500000.0,13493912.169873107
234,14000000.0,13930612.03328991
235,16500000.0,14022770.877179604
236,16000000.0,13716081.597897466
237,15500000.0,15919946.548832672
238,15500000.0,15626164.384790655
239,15500000.0,14937019.502104193
240,15500000.0,15224782.105576254
241,15000000.0,15167662.077981772
242,15000000.0,14955692.654884998
243,15500000.0,14619816.536858253
244,16000000.0,14393937.186030585
245,15500000.0,15050807.835116003
246,15000000.0,15400753.40701706
247,15000000.0,15014637.29631513
248,15000000.0,14647114.843884831
249,14500000.0,14588123.472574305
250,14500000.0,14628521.722738264
251,14500000.0,14122744.89072156
252,15000000.0,14327361.071719404
253,15000000.0,14123922.805982549
254,15000000.0,14454265.461620457
255,15000000.0,14517683.817692079
256,15000000.0,14514791.936358212
257,15000000.0,14687713.441696921
258,15000000.0,14453255.129378816
259,15000000.0,14650319.33200479
260,14500000.0,14462030.141516887
261,15000000.0,14566326.937557904
262,14500000.0,14131700.376880467
263,14500000.0,14640557.08400274
264,14000000.0,14176879.577221384
265,13500000.0,14038806.208780877
266,13500000.0,13663222.046294857
267,14500000.0,13317482.700754408
268,13500000.0,13212112.72883949
269,13500000.0,13964617.958090877
270,14000000.0,13463313.766465537
271,14500000.0,13170691.2554324
272,15000000.0,13609758.766122546
273,16500000.0,14008774.472313726
274,14500000.0,15370944.577450644
275,15000000.0,15560817.212621354
276,15000000.0,14915641.387511099
277,14500000.0,14684927.37400027
278,15500000.0,14366738.784265544
279,15000000.0,14083297.889042422
280,16000000.0,15106578.06742965
281,15500000.0,14652272.855855322
282,15500000.0,15493508.99685065
283,15500000.0,15157276.22778273
284,16500000.0,15138514.449366692
285,16000000.0,14966342.77061455
286,16000000.0,15970398.705907349
287,17000000.0,15472719.03420046
288,17000000.0,15569933.836298864
289,17000000.0,16588170.410353811
290,17500000.0,16408265.204958837
291,17500000.0,16550868.686172344
292,17500000.0,17101514.79736919
293,17500000.0,17064042.804543063
294,17000000.0,17074170.83471234
295,16500000.0,17120820.14634798
296,16500000.0,16627151.187479125
297,16500000.0,16291791.783762034
298,16500000.0,16200827.50601025
299,16000000.0,16016800.940014467
300,16000000.0,16099011.1535056
301,16500000.0,15695982.048851073
302,16500000.0,15568377.784994218
303,16500000.0,16105576.433138557
304,16500000.0,15986359.914250065
305,16500000.0,16058649.427845856
306,16500000.0,16083403.373453688
307,16000000.0,16083403.373453688
308,16000000.0,16083403.373453688
309,16000000.0,15603971.988603553
310,16500000.0,15671646.523666546
311,16500000.0,15592769.708310254
312,16500000.0,16064608.293283803
313,16000000.0,16024996.39421063
314,16000000.0,16034572.259816159
315,16500000.0,15589661.90270146
316,17000000.0,15671646.523666546
317,17000000.0,16088657.530810278
318,17000000.0,16529733.889232341
319,17000000.0,16454629.840311613
320,17000000.0,16573130.371492445
321,16000000.0,16602839.295797328
322,16000000.0,16602839.295797328
323,15500000.0,15748251.300010532
324,16000000.0,15776132.387729391
325,16000000.0,15195544.239950754
326,16000000.0,15653249.453167614
327,16000000.0,15530036.72381776
328,15500000.0,15562625.17558008
329,15500000.0,15542052.748580005
330,16000000.0,15085930.442920893
331,16000000.0,15161199.389235657
332,16000000.0,15575249.763037585
333,16000000.0,15512215.988510363
334,16000000.0,15516805.185040183
335,16000000.0,15610628.579497054
336,16000000.0,15544557.36274416
337,16000000.0,15469597.263340052
338,16000000.0,15614684.410840297
339,15000000.0,15517023.257815361
340,15500000.0,15643295.98864349
341,15000000.0,14882111.35551507
342,15500000.0,15190568.313376287
343,15500000.0,14620207.026778337
344,14500000.0,15123581.835517729
345,14500000.0,15027695.880822739
346,15000000.0,14324772.128920512
347,14500000.0,14154967.560316652
348,14500000.0,14593370.110180026
349,15000000.0,14077662.910016865
350,15000000.0,14135590.236579549
351,15000000.0,14565320.365191696
352,15000000.0,14552397.136199716
353,15000000.0,14492828.89257259
354,14000000.0,14553942.982128182
355,15000000.0,14557070.12423921
356,15000000.0,13884575.581350021
357,14500000.0,14774388.238703486
358,14500000.0,14551210.08981267
359,14500000.0,14095357.420934688
360,14500000.0,14345248.41053449
361,14500000.0,14103981.500930335
362,14500000.0,14057813.453350253
363,14500000.0,14062131.40172376
364,14500000.0,14062131.40172376
365,14000000.0,14062131.40172376
366,14000000.0,14062131.40172376
367,13000000.0,13735027.073084714
368,13000000.0,13961958.1147838
369,13000000.0,13360021.39429048
370,12500000.0,12952458.954112582
371,13000000.0,12732383.23957994
372,13000000.0,12281436.671018366
373,13000000.0,12852382.886808846
374,13000000.0,12785728.889363673
375,13000000.0,12566858.483470183
376,13000000.0,12637684.331271995
377,13000000.0,12631144.833642013
378,13000000.0,12629483.505825214
379,13000000.0,12629483.505825214
380,13000000.0,12629483.505825214
381,13000000.0,12629483.505825214
382,13000000.0,12629483.505825214
383,13000000.0,12652217.861199884
384,13000000.0,12726808.41856133
385,13000000.0,12635246.857740588
386,13000000.0,12631616.429446459
387,15000000.0,12629483.505825214
388,15000000.0,12679111.713054767
389,15000000.0,14640644.635387849
390,13000000.0,14420276.187696412
391,13000000.0,14380199.675444596
392,14000000.0,13754754.602362249
393,13000000.0,12897805.941927917
394,13000000.0,13614336.683026064
395,13000000.0,13094224.52022935
396,14000000.0,12728396.160244634
397,13000000.0,12677773.197400237
398,13500000.0,13552460.413007475
399,13500000.0,13102951.19111184
400,13500000.0,13144224.418001816
401,13000000.0,13103198.268640365
402,13000000.0,13062418.659682378
403,14000000.0,12901585.690989286
404,14000000.0,12607488.771660931
405,13500000.0,13588166.33862971
406,13500000.0,13546212.574286167
407,13500000.0,13166626.292963102
408,13500000.0,13285404.517800994
409,12500000.0,13151092.63616975
410,12500000.0,13144923.754832555
411,12500000.0,12635180.791357962
412,12500000.0,12251855.582478242
413,12500000.0,12232479.332991263
414,12500000.0,12174067.519622646
415,12500000.0,12171291.657302173
416,12500000.0,12171291.925864704
417,12500000.0,12199805.478344081
418,12500000.0,12268542.446779732
419,12500000.0,12183609.546349268
420,12500000.0,12174836.682711445
421,12500000.0,12171291.925864704
422,12500000.0,12171291.925864704
423,12500000.0,12171291.925864704
424,12500000.0,12171291.925864704
425,12500000.0,12171291.925864704
426,12500000.0,12214834.774704207
427,12500000.0,12317182.881020248
428,12500000.0,12197991.60700967
429,12000000.0,12176388.974140655
430,12000000.0,12171291.925864704
431,11000000.0,11873395.383847684
432,11000000.0,11901831.05319307
433,11500000.0,11362711.64582698
434,11500000.0,10998794.376812898
435,12000000.0,11233191.993998995
436,12500000.0,11259495.276848197
437,12500000.0,11679062.999287099
438,12500000.0,12190931.6351946
439,12500000.0,12150737.223991673
440,12000000.0,12100908.400551457
441,11500000.0,12161054.85930784
442,11500000.0,11842631.277358482
443,13000000.0,11527770.177382912
444,13000000.0,11351012.524851322
445,12500000.0,12576842.026997779
446,12500000.0,12562514.215968639
447,12000000.0,12259078.840312164
448,12000000.0,12156537.637536328
449,12000000.0,11847490.379231963
450,12000000.0,11880452.670037445
451,12000000.0,11698139.532989476
452,12000000.0,11735944.006228985
453,12000000.0,11785036.968334246
454,12000000.0,11767269.67697052
455,12000000.0,11677615.178682448
456,11000000.0,11775081.086747345
457,12000000.0,11721890.128981471
458,12000000.0,11264104.07844278
459,12000000.0,11877920.393932596
460,12000000.0,11889732.579733806
461,12000000.0,11761235.61402389
462,12000000.0,11768206.96020373
463,12000000.0,11738680.12129487
464,13000000.0,11712456.064392313
465,12500000.0,11778049.239840016
466,12000000.0,12545614.650142591
467,12500000.0,12314352.23194345
468,12500000.0,11911413.632861875
469,12000000.0,12178763.604039807
470,12500000.0,12275767.31598884
