,y_actual,y_predict
0,101.0,213.0199327492263
1,100.0,146.97870343387012
2,100.0,133.3049064825891
3,97.0,125.63459339930876
4,96.0,128.5949744562521
5,97.0,127.88576359508966
6,97.0,134.39365234151944
7,99.0,133.23667819344666
8,98.0,130.13297735753554
9,96.0,129.86377840368857
10,97.0,131.24005199946635
11,97.0,122.4755832402468
12,96.0,122.91486845572513
13,97.0,129.03425967173052
14,98.0,126.72438892422599
15,99.0,129.04120361595096
16,98.0,128.58920129332466
17,99.0,132.4907693945147
18,99.0,132.94725298346918
19,96.0,132.61010834286083
20,97.0,132.83780511846032
21,96.0,132.10489602905727
22,97.0,129.87427506355652
23,96.0,130.72329335980794
24,97.0,131.91417979360835
25,96.0,132.09480308687637
26,98.0,131.12325647254977
27,97.0,130.30964421746887
28,98.0,131.33783242331424
29,97.0,131.81397706363703
30,98.0,125.91897213819584
31,97.0,118.01042524767922
32,95.0,112.19789984573981
33,93.0,109.68677583114959
34,95.0,130.93568923506132
35,94.0,130.41634680220454
36,96.0,128.08358526183383
37,98.0,127.5464388789702
38,96.0,128.74305810392923
39,97.0,130.6685492414191
40,97.0,131.11558583649241
41,95.0,130.67064857339267
42,96.0,130.90440111430075
43,96.0,130.87121552041015
44,97.0,130.79547808228517
45,97.0,131.10585624023008
46,95.0,131.27662882192965
47,94.0,131.34897503148193
48,94.0,131.48809614650247
49,95.0,131.95301743512016
50,96.0,130.9081153170232
51,94.0,128.78209760428467
52,95.0,128.16081645540157
53,94.0,129.9668879010079
54,93.0,130.81885333637604
55,93.0,130.86394860203995
56,93.0,127.56295093237804
57,91.0,125.908596593634
58,88.0,123.72565468699554
59,91.0,127.01518677434001
60,90.0,127.54062534427396
61,92.0,125.64226403536622
62,89.0,123.39904707802384
63,89.0,122.32402762045945
64,90.0,125.61335784896039
65,85.0,125.81965758713648
66,89.0,125.44064742236196
67,89.0,124.73607931460265
68,82.0,124.48242349171403
69,80.0,123.80163435573274
70,78.0,122.34825068169346
71,80.0,121.2667717411332
72,80.0,118.26577668485425
73,80.0,115.80326027980686
74,80.0,114.9809680944503
75,84.0,116.22034102248745
76,84.0,116.71723675193402
77,84.0,116.86479556661766
78,79.0,117.48619783080699
79,89.0,118.11571482050965
80,85.0,118.03965440823492
81,84.0,118.06012289497767
82,82.0,119.02129396474243
83,82.0,120.03244528418657
84,82.0,120.15545806348655
85,82.0,119.4749111581176
86,85.0,119.31516006927939
87,85.0,119.04051092665463
88,80.0,119.25068635462821
89,80.0,120.01738661445279
90,76.0,120.90770523010804
91,75.0,120.41541188229587
92,87.0,118.04324749565126
93,87.0,114.94293788831294
94,80.0,114.8459648998396
95,80.0,117.78511040643446
96,80.0,121.16919317612894
97,80.0,119.99917894675855
98,75.0,117.04957715206433
99,78.0,115.28779353674759
100,78.0,116.30391058374471
101,75.0,115.37378540412817
102,73.0,114.53066138611041
103,72.0,114.31317866799793
104,71.0,113.50521846053823
105,70.0,112.18223559947512
106,70.0,110.60034858558947
107,70.0,109.31810083916821
108,72.0,108.32919436429063
109,72.0,108.13589433564334
110,72.0,108.52483595552371
111,75.0,109.31160098440375
112,77.0,109.72093034748946
113,78.0,109.73760388797223
114,75.0,110.44487690423591
115,75.0,111.99757512933468
116,75.0,113.69855886095422
117,75.0,113.93816530832703
118,74.0,112.80307265890235
119,75.0,112.35700498627841
120,75.0,111.99099453103281
121,75.0,111.55703838902593
122,73.0,111.64012348905851
123,73.0,112.25841712705608
124,72.0,111.86265267826138
125,71.0,111.4517488161955
126,69.0,110.79401196015522
127,70.0,109.91552227273587
128,75.0,109.16824083366726
129,75.0,108.67461521748726
130,71.0,109.02443659347477
131,75.0,110.36635381406916
132,75.0,111.39700469780666
133,78.0,111.32199395151872
134,80.0,111.04472064392701
135,74.0,111.83600731090405
136,74.0,113.09209415119255
137,78.0,113.37804738905982
138,75.0,113.07093934438149
139,75.0,112.96391378549606
140,72.0,113.03634073858564
141,73.0,112.50363525028149
142,73.0,111.60439447373835
143,76.0,110.74855334857273
144,70.0,110.62675172233446
145,70.0,110.8265516057462
146,70.0,111.11262595891958
147,77.0,110.24576334089261
148,77.0,108.90719697710233
149,73.0,108.88269131348727
150,73.0,110.49102183588673
151,75.0,111.76273255067122
152,75.0,112.03778541098313
153,75.0,111.64246505164442
154,69.0,111.38610432025132
155,72.0,112.30024227945341
156,73.0,111.9628150364639
157,74.0,109.97571657990227
158,75.0,108.71373546138011
159,75.0,109.96614847071487
160,75.0,111.49244355906853
161,73.0,111.49631924886603
162,79.0,111.24121004230335
163,74.0,111.63261434007597
164,73.0,112.30117083013408
165,73.0,112.69645081770409
166,71.0,112.24723414711968
167,70.0,111.70629281799597
168,72.0,111.21472616202084
169,71.0,110.33389491201558
170,72.0,109.46473110317129
171,73.0,108.98317664583954
172,71.0,109.0835408628858
173,71.0,109.73966284817709
174,74.0,110.58496694170583
175,72.0,110.24713598102915
176,72.0,109.55621353109836
177,72.0,110.02157890917204
178,73.0,110.54451442944514
179,73.0,109.98128788398617
180,72.0,109.3551621228562
181,72.0,109.87305117203891
182,71.0,110.32150077901747
183,76.0,110.07248770953208
184,76.0,109.68701806176182
185,75.0,110.07034800578981
186,75.0,110.959213237771
187,75.0,111.86014962860054
188,75.0,112.41946011249331
189,75.0,112.59753998433189
190,76.0,112.65696722789266
191,80.0,112.57513365269051
192,73.0,112.54493556968544
193,72.0,113.32782490876798
194,72.0,114.19517198801975
195,73.0,113.46876275338104
196,73.0,111.44294777061384
197,68.0,109.78657484343353
198,68.0,109.9837505618782
199,73.0,109.26485047622214
200,75.0,108.22769973772017
201,75.0,108.2880555319615
202,71.0,109.98052082038043
203,73.0,111.3736294437158
204,73.0,109.21955335171458
205,71.0,106.69046390004246
206,62.000000000000114,104.99230619223363
207,65.0,109.88261928122631
208,65.0,109.13598379045732
209,58.0,106.35784089753099
210,61.0,103.97134453298963
211,60.0,102.62486530252966
212,60.0,101.55824317285965
213,60.0,100.06452810186568
214,67.0,98.99483771777261
215,64.0,99.11474187088083
216,60.0,99.68099629899416
217,57.0,100.76764282595093
218,57.0,100.84313803346345
219,57.0,99.63186385645781
220,60.0,98.08069975857063
221,60.0,97.05860768980244
222,59.0,97.24855686164562
223,59.0,98.2037529096392
224,60.0,98.83088796498726
225,62.999999999999886,98.80941018402643
226,70.0,98.52648482881341
227,94.0,99.28200210870159
228,77.0,101.30733263024422
229,71.0,100.97713193385619
230,69.0,118.71471075305749
231,70.0,123.57603691210693
232,66.0,129.69098723355273
233,68.0,86.70022112961749
234,65.0,106.61924810001449
235,65.0,105.18996637190298
236,68.0,105.11749904704459
237,68.0,104.2213668966931
238,65.0,104.32383044571293
239,69.0,105.16941714162283
240,67.0,105.53482202033751
241,70.0,106.25549846381739
242,66.0,106.5344270139268
243,66.0,106.35069509446703
244,68.0,106.66930909323139
245,65.0,105.79429137792226
246,65.0,105.28221586343568
247,69.0,104.24575144500204
248,70.0,104.64490712236943
249,66.0,104.44292716344671
250,65.0,104.99113541094061
251,67.0,105.61649410846485
252,65.0,105.35242236924557
253,65.0,104.70800819688395
254,66.0,104.16056701299578
255,65.0,103.79588882611813
256,64.0,103.6759443012412
257,61.0,103.58426001447049
258,62.000000000000114,102.99426698634795
259,61.0,102.61941511375198
260,61.0,101.0424534556505
261,61.0,99.76509069324482
262,59.0,99.08159664875905
263,58.0,100.00639275490403
264,59.0,100.16178369272006
265,59.0,99.61038607549699
266,57.0,98.80270847041834
267,57.0,98.41142528795194
268,59.0,98.38510289474436
269,58.0,97.86341889930168
270,58.0,97.38456935047441
271,58.0,97.54020251890279
272,61.0,97.98207152757948
273,62.000000000000114,98.15910173343127
274,65.0,98.46495825327906
275,65.0,99.19919961105006
276,67.0,100.35330736354354
277,64.0,101.76357398858636
278,62.000000000000114,102.93072182237745
279,55.999999999999886,103.09333930679497
280,58.0,102.46184410042486
281,57.0,101.27996057104974
282,61.0,99.36092891655562
283,60.0,98.30916359777586
284,67.0,97.89490887890588
285,62.000000000000114,98.24711218924813
286,67.0,99.17291758961119
287,62.999999999999886,101.6957494171312
288,61.0,102.9551871142238
289,59.0,102.68509998146476
290,62.999999999999886,101.48339391364652
291,62.000000000000114,101.20870439925318
292,61.0,100.47878282073555
293,59.0,100.1023564491594
294,59.0,100.08754001003797
295,59.0,100.31620570808673
296,58.0,99.53505235505929
297,60.0,98.84994343982464
298,60.0,99.06900065691741
299,61.0,99.2590709440667
300,62.000000000000114,99.45705409788593
301,61.0,99.69960768437556
302,60.0,100.0776489267007
303,60.0,100.00267855218146
304,60.0,100.71188941334401
305,60.0,99.8392940041582
306,60.0,98.65385775913546
307,62.000000000000114,98.31303928757325
308,59.0,99.40796202711829
309,62.000000000000114,100.16129923149538
310,60.0,101.37733727721047
311,60.0,100.9102762848504
312,60.0,99.5188229040325
313,61.0,98.71679734657516
314,64.0,99.26597451651844
315,64.0,99.6564906353791
316,60.0,100.20433553695443
317,60.0,100.80308923888992
318,59.0,101.40047030068888
319,60.0,101.09348337131678
320,59.0,99.75968087623585
321,58.0,98.8643157894902
322,58.0,98.72793995474274
323,58.0,98.38518363828189
324,58.0,98.14307414124812
325,55.999999999999886,98.04089319460945
326,55.999999999999886,97.60298061926756
327,60.0,96.96183656017263
328,62.000000000000114,96.28762802249321
329,62.000000000000114,96.67378399033169
330,60.0,97.6115798060057
331,59.0,99.03347350044089
332,59.0,99.76666519222499
333,60.0,99.79189754767708
334,60.0,99.07477381984484
335,59.0,98.7243064955577
336,58.0,99.37808691826308
337,60.0,99.19697916377027
338,60.0,98.25397538993104
339,57.0,97.67657835365014
340,58.0,98.43572909272348
341,62.000000000000114,98.88942702963607
342,59.0,98.24622401033616
343,59.0,98.32825944438196
344,58.0,98.77691091020415
345,59.0,98.88195825242224
346,59.0,98.42769511074744
347,59.0,98.46641163695313
348,59.0,98.3903512246784
349,59.0,98.32656383009555
350,58.0,98.37274913351507
351,60.0,98.44275378048133
352,73.0,98.0968484660599
353,62.000000000000114,98.09260943034394
354,62.000000000000114,100.91415197464778
355,62.000000000000114,104.37308400355539
356,64.0,101.18173605774598
357,62.999999999999886,101.0227924042822
358,62.999999999999886,95.9063570386702
359,62.000000000000114,98.7034746628965
360,60.0,97.72546856557415
361,58.0,101.73305293143153
362,58.0,101.17333872985148
363,59.0,100.3350996958493
364,60.0,99.10299368618234
365,60.0,98.34529633078319
366,64.0,98.80068988198218
367,61.0,99.35483277947844
368,59.0,99.82839362660297
369,62.000000000000114,100.47765241121135
370,59.0,100.87991671477039
371,62.000000000000114,100.517378231635
372,59.0,99.59686153297469
373,61.0,99.37158706349862
