,y_actual,y_predict
0,3020.0,3245.006839658531
1,3000.0,2748.1639303617026
2,3040.0,2914.5755467039485
3,2980.0,2953.7723866708034
4,2870.0,2918.4043960071754
5,2870.0,2875.1424244943682
6,2890.0,2818.303712661137
7,2890.0,2846.4489186423866
8,2980.0,2849.1104268379677
9,3040.0,2862.795211675926
10,3030.0,2872.5182194501385
11,3050.0,2911.900402664917
12,3080.0,2918.5834424484096
13,3180.0,2944.419413998642
14,3200.0,2966.93683814498
15,3230.0,2986.535236415281
16,3400.0,3027.507819294704
17,3410.0,3054.6071473980273
18,3440.0,3109.234898410844
19,3550.0,3120.7595094313033
20,3730.0,3225.2414674453375
21,4420.0,3260.2210319887567
22,4160.0,3315.075750313024
23,3700.0,3616.881043525957
24,3670.0,3936.555610179248
25,3350.0,4239.268164670442
26,3350.0,4144.13001638918
27,3650.0,3717.9989217097973
28,3660.0,3448.856554433124
29,3660.0,3178.899011247736
30,3670.0,3316.239975587015
31,3980.0,3479.0742413599673
32,4250.0,3559.669463027664
33,4400.0,3577.939636779413
34,4620.0,3752.6575011039595
35,4760.0,4050.3963165570967
36,4670.0,4247.360299512188
37,4600.0,4443.395351488758
38,4450.0,4592.289816163324
39,3980.0,4592.193496734108
40,3980.0,4571.346289705481
41,4040.0,4403.009196730225
42,4040.0,4292.445782815895
43,4040.0,4054.6097921833925
44,4100.0,3862.123620456778
45,4180.0,3876.022757279683
46,4180.0,3910.3406142925874
47,4180.0,3939.8751129607094
48,4180.0,4014.6362302548787
49,4180.0,4042.1622212942025
50,4180.0,4015.4212466308663
51,3800.0,4012.8500216153307
52,3800.0,4007.6764349608384
53,3800.0,4033.5899223727256
54,3790.0,3938.0815218581465
55,3510.0,3856.7705530985213
56,3500.0,3660.549658472118
57,3760.0,3671.2068083752165
58,3890.0,3633.270762812524
59,3600.0,3463.8587520097003
60,3810.0,3463.691735997625
61,4350.0,3718.2591101048147
62,4350.0,3726.202314611801
63,4350.0,3676.335622562837
64,4350.0,3853.053656675601
65,3900.0,4216.256853748418
66,3900.0,4274.913127975883
67,3880.0,4201.458228946543
68,3950.0,4055.3735731216493
69,3950.0,3801.731512043277
70,3930.0,3687.7669322786655
71,3790.0,3693.9814462182394
72,3680.0,3800.072064636317
73,3600.0,3825.3611259559148
74,3640.0,3734.8035137046677
75,3580.0,3597.378226438571
76,3800.0,3478.4395982238498
77,3800.0,3499.1453944448435
78,3900.0,3535.2149240125054
79,3860.0,3510.1510115300134
80,3860.0,3695.221309168442
81,3620.0,3731.192143076605
