,y_actual,y_predict
0,127.0,142.75912487533793
1,125.0,142.64081303736862
2,123.0,142.46237899512562
3,121.0,141.56069203601223
4,113.0,138.95652329689432
5,113.0,135.77180305086196
6,112.0,131.23268288637348
7,112.0,128.03181139757146
8,109.0,126.08811027551133
9,106.0,123.92134667723943
10,107.0,122.40533803461469
11,106.0,119.58856328792842
12,106.0,118.16807078392806
13,104.0,117.47457015637019
14,105.0,115.97609743337262
15,108.0,115.37241484974489
16,110.0,115.30620936488853
17,108.0,115.4703384001719
18,104.0,117.19762814373154
19,104.0,117.737941007578
20,106.0,117.086415680154
21,109.0,116.12473269835104
22,114.0,116.8925277144221
23,108.0,118.95751590338278
24,110.0,121.15250432968554
25,106.0,121.85373523955587
26,103.0,121.7025066109666
27,102.0,120.26649377211729
28,105.0,118.11772101128904
29,104.0,116.47284776557947
30,101.0,115.78673208126166
31,103.0,115.01373373512891
32,101.0,114.16892146478168
33,101.0,113.21997618184064
34,101.0,112.50797334936654
35,108.0,111.65968776488751
36,105.0,112.1374378069776
37,102.0,113.00846264114548
38,102.0,113.6167143263462
39,101.0,113.3964610506655
40,104.0,112.98324292715793
41,101.0,111.50999323871591
42,100.0,111.42644774774462
43,101.0,111.29343907579126
44,101.0,111.14437545754035
45,102.0,111.07398937756743
46,102.0,111.46182839982328
47,131.0,111.83014580278578
48,129.0,114.80023781533559
49,140.0,125.394207859225
50,141.0,135.5222125568692
51,145.0,146.28451879570258
52,151.0,154.58375387102825
53,151.0,161.0221227137123
54,158.0,166.59221615253546
55,173.0,170.43738077164954
56,185.0,176.35950754794544
57,198.0,186.24120579335246
58,197.0,197.80955335052272
59,191.0,208.88350153763264
60,188.0,214.84224753787254
61,197.0,215.82720770138093
62,189.0,214.84417346731465
63,191.0,215.763200432543
64,192.0,215.65537494832915
65,195.0,216.20608451059502
66,200.0,216.7225523756074
67,216.0,218.1105099543082
68,216.0,222.2112918983417
69,214.0,227.84907179535082
70,242.0,232.11525787278106
71,256.0,235.59365911475834
